SIG Question,Response,Additional Information
Does the third party risk management program include comprehensive financial analysis of their third parties?,Yes,
Does the third party risk management program include vendor reputational review?,No,
Does the third party risk management program include a defined risk assessment and classification method for their third parties?,Yes,
"Does the third party risk management program include management of risk, compliance, and performance issues?",No,
Does the third party risk management program include conducting a periodic independent review for oversight and governance of program effectiveness?,No,
"Does the third party risk management program include consistently applied tools, measurements, and criteria to evaluate third party risk?",Yes,
"Has the organization implemented and documented an information security program and policy that is communicated, monitored, maintained, continually improved, and approved by management?",Yes,
"Has the organization determined and documented the scope of the information security program considering relevant internal and external issues, and business activities?",Yes,
"Does the information security policy have clearly defined and measurable objectives that are monitored, updated and recorded (as necessary), and communicated with all constituents?",Yes,
"Does the organization determine what needs to be monitored, measured, and evaluated for its information security program including processes and controls, the methods used and who will perform the operations?",Yes,
Do the monitoring and measurement operations for the information security program produce valid comparable and repeatable results and include documented information to be made available as evidence of the results?,Yes,
"Are information security policies, standards, and procedures based on accepted controls, frameworks, and industry practices?",Yes,
"Does the organization plan for information security by addressing risks and opportunities, integrating and implementing actions, and evaluating their effectiveness?",Yes,
Does the organization understand its internal and external risk exposure that may affect the intended outcome of its information security program?,Yes,
Does the organization have a documents and records management program with an assigned owner required by the information security program to ensure it is adequately controlled and protected?,Yes,
"Does the organization retain documented information on the actions to be taken, resources needed, responsible parties, a timeline for completion, and evaluation of results to meet policy objectives ?",Yes,
"Does the organization ensure documented information and records relevant to the information security program include distribution, retrieval, storage, use and access level instructions, with version control?",Yes,
Does the organization ensure documented information and records relevant to the information security program include retention and disposal instructions for internal as well as external documents and records?,Yes,
"Does the organization ensure documented information and records relevant to the information security program are described and identified in a suitable format (including which media), with an adequate review and approval process?",Yes,
"Does the information security program establish requirements for the protection of information that is accessed, processed, stored, or transmitted on external systems?",Yes,
"Has the organization determined the interested parties and their legal and regulatory requirements, and contractual obligations relevant to the information security program?",Yes,
"Does the organization have a level of confidence with third parties to comply with its information security policy, including security clauses in agreements or contracts?",No,
"Does the organization control planned changes to the information security program, including any processes, products or services provided externally, taking action to mitigate any adverse effects of unintended changes?",Yes,
"Has senior management designated and communicated a qualified owner (e.g., Chief Information Security Officer (CISO)) of the information security program who ensures enforcement of the policy, and reports on the program's performance to senior management?",Yes,
"Does the Chief Information Security Officer (CISO) or designated owner(s) report annually to the board of directors or other senior officer, on the cybersecurity program and material risks?",No,
"Is there a management-approved information security process for handling deviations, exceptions and exemptions to information security policies, standards and procedures?",Yes,
"Does the information security program define and set objectives and principles to address the unauthorized disclosure, misuse, alteration, destruction, or other compromise of client-scoped data?",Yes,
"Does senior management clearly identify and communicate the roles and responsibilities for information security policies, processes and procedures to assigned personnel before being granted access to the organization's information and assets?",Yes,
Does senior management ensure personnel are provided with adequate resources and project planning time for implementing the organization's security-related processes and controls?,Yes,
"Do the owners of the information security program update policy requirements based on significant changes after review (e.g., business strategy, contracts, organizational, legal, regulatory, industry vertical, cybersecurity threat environment, or technical conditions)?",Yes,
Does the information security review and update process include timeframes or criteria to periodically review previously accepted information security policy exceptions?,Yes,
"Is the information security policy protected from unauthorized access and modification, limiting access to designated personnel?",No,
Have any of the Information Security and IT processes been outsourced?,Yes,
Do the information security policies and procedures include requirements for third-party risk management?,Yes,
Is there a documented risk assessment process for information security with consistent and comparable results?,Yes,
Does the information security assessment process include residual risk acceptance responsibilities?,Yes,
"Does the information security risk assessment process address the risks to architecture, infrastructure, software, operations, concentration, business model, cybersecurity, and IT services strategy?",Yes,
"Does assessing infosec risks involve identifying owners, analyzing risks, considering potential loss, determining consequences and likelihood of reoccurrence, comparing results to criteria, and prioritizing treatment?",Yes,
"Does the information security risk assessment process include determining the consequences and the likelihood of reoccurrence, and comparing results to risk criteria?",Yes,
"Is there a documented risk treatment plan with prioritized security control requirements, including exclusion reasoning, approved by the risk owner?",Yes,
Does the information security risk assessment process include identifying risk owners with local and site-specific responsibilities?,Yes,
"Do all projects involving systems, applications, and platforms go through an information security assessment?",Yes,
"Are information security requirements for projects derived from business processes (e.g., transaction logging and monitoring) and mandated by other information security controls (e.g., interfaces to logging and monitoring or data leakage detection systems)?",Yes,
"Are the organization's information security requirements for projects determined by, and in compliance with, the legal, statutory, regulatory, and contractual environment in which the organization operates?",Yes,
Does the organization's project management program require that information security risks and requirements are assessed in the early stages of projects and treated throughout the project lifecycle?,Yes,
"Does the organization consider information security risks associated with the execution of projects (e.g., security of internal and external communication aspects)?",Yes,
Are information security considerations and activities followed up at defined intervals by owners of the program or oversight committee?,Yes,
"When assessing information security requirements does the organization consider what information is involved, the corresponding information security needs, and the business impact if there is a lack of adequate security?",Yes,
"Does the organization consider the required protection of information (i.e., confidentiality, integrity, availability) and the level of confidence with the entity receiving the information?",Yes,
"Are information security personnel responsible for the design of information technology systems, processes, and architecture required to meet information security requirements?",Yes,
"Are information security personnel responsible for the review of information security policies and standards on a scheduled basis (e.g., annually)?",Yes,
Do information security personnel review the effectiveness of information security policy implementation and manage instances of non-compliance with security policies across the entire organization?,Yes,
Are information security personnel aware of their responsibilities for the review and monitoring of significant changes in the exposure of information assets?,Yes,
"Are information security personnel aware of their responsibilities for reporting information security incidents or vulnerability events in a timely manner, without attempting to prove suspected vulnerabilities?",Yes,
"Does the organization specify when and whom to contact when an information security incident is recognized, as well as the timeframe for reporting it?",Yes,
"Does the organization assign a responsible individual to manage information security incidents, and maintain contact with authorities to confirm the expectations of these authorities?",Yes,
Does senior management ensure all personnel are provided with a confidential channel for reporting violations of the information security policy?,Yes,
Are information security personnel responsible for the development and maintenance of an overall strategic security plan?,Yes,
"Does the organization's senior management demonstrate leadership and commitment concerning the information security program by ensuring the policy objectives and requirements align with the strategic direction of the entire organization, and are integrated into the organization's processes?",Yes,
"Does the organization's senior management direct and support the available resources who contribute to the effectiveness of the information security program, and communicate the importance of system requirements?",Yes,
"Does the organization's senior management demonstrate executive leadership by communicating the mandate of information security awareness, policy compliance, and program effectiveness?",Yes,
"Does the organization's awareness program cover general aspects of information security (i.e., senior management and board commitment, rules and obligations to information security and protection, standard controls, event reporting, and contact resources)?",Yes,
Does the organization's board of directors or ownership ensure information security programs are funded sufficiently to meet the organization's objectives?,Yes,
"Does the organization ensure the competency of the person(s) responsible for the information security program's performance (i.e., based on education, training, or experience) with documented evidence of their competence?",Yes,
Does the organization's board of directors or owners require senior management to review the information security program at planned intervals to demonstrate it meets its intended objectives?,Yes,
"Does senior management review the information security program for updates on internal and external issues, performance feedback, nonconformity trends, objective fulfillment, and risk assessment results?",Yes,
"Does the organization's board of directors or owners require senior management to communicate the results of the information security program review in a comprehensible manner, including the benefits of improved performance, and implications of non-conformance?",Yes,
"Does the organization have a plan to quickly correct nonconformities, implement actions, and make necessary changes to the information security program?",Yes,
Does the organization conduct a review to determine the cause and mitigate the consequences and potential reoccurrence of a nonconformity within the information security program?,Yes,
"When an independent review is conducted on the information security program, does the responsible owner of that area of their responsibility share results of previous reviews (e.g., corrective actions, nonconformities, etc.)?",Yes,
"Does the organization have an internal audit program with an owner who determines if the information security program is implemented and operating as intended (i.e., cybersecurity and privacy controls in systems, applications and services)?",Yes,
"Does the organization conduct planned internal audits to verify the information security program conforms to its own requirements, relevant standards and regulations, which include the methods, frequency, responsibilities, and reporting as evidence of its effectiveness?",Yes,
Does the organization's internal audit program for its information security program consider the importance of the processes involved and the results of previous audits?,Yes,
"Does the organization define the criteria and scope for each audit of the information security program, select qualified, independent auditors to ensure objectivity and impartiality, with documented results reported to senior management?",Yes,
"Does the organization have a procedure that permits access to the system and data during an audit, including conducting technical audit tests with read-only access, with approval by the owner of the audit program?",Yes,
"Does the organization have a procedure to ensure that the devices used to access the organization's systems during an audit meet and comply with the necessary security requirements (e.g., antivirus) before allowing the access?",No,"Yes, we have a comprehensive device security policy in place. All devices used to access our systems during an audit are required to have up-to-date antivirus software and meet our other security requirements before access is granted."
"Does the organization have a procedure to restrict access to system files, allowing only isolated copies to be accessed for auditing purposes before being deleted?",Yes,
"Does the organization have a procedure for identifying and authorizing requests for special or extra processing, such as running audit tools?",Yes,
Does the organization have a procedure for conducting audit tests outside of regular business hours to prevent system downtime?,Yes,
"Do information security personnel maintain contact with information security special interest groups, forums, or professional associations?",Yes,
"Is there an asset management program approved by management, communicated to constituents and has an owner to maintain, review, and manage asset controls?",Yes,
"Does the organization implement and manage a Configuration Management Database (CMDB), or asset inventory list, to collect and manage asset-specific information?",Yes,
Is the asset inventory updated on a periodic basis as a new system or system components are connected to the network?,Yes,
"Are the following documented in the asset inventory for all devices on the network: machine name, unique identification number, asset status, purpose, asset owner, operating system, physical location, and business function/department?",Yes,
"Does the asset inventory identify the environment (e.g., Active, Inactive, PROD, Dev, Test, etc.) for all devices on the network?",Yes,
Does the asset inventory identify if all installed software platforms and applications are on scoped systems?,Yes,
Does the asset inventory document the data classification for all assets?,Yes,
Does the asset inventory identify external/internet-facing systems?,No,
Is an automated asset inventory discovery tool used to inventory devices on the network?,Yes,
Does the asset inventory identify equipment owned and managed by third parties on the entity's behalf?,Yes,
Does the asset inventory identify entity-owned or entity-managed virtual infrastructure?,Yes,
Does the asset inventory identify the most recent IP address for each device on the network?,Yes,
"Does the organization use asset location technologies so that critical assets (e.g., equipment, system components) remain in authorized locations?",Yes,
Is DHCP (Dynamic Host Configuration Protocol) logging utilized to identify new devices and update inventory?,Yes,
Is operating system and version documented for each device on the network?,Yes,
"Is there an acceptable use policy for information and associated assets that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review the policy?",Yes,
Are constituents made aware of and held accountable to the Acceptable Use Policy?,Yes,
"Is there a policy or procedure for information handling consistent with its classification that has been approved by management, communicated to appropriate constituents, and assigned an owner to maintain and periodically review (e.g., authorized parties, encryption, public cloud storage, removable media, classification labeling, etc.)?",Yes,
Does the organization ensure documented information and records related to the information security program include retention periods if information ceases to be sensitive or critical?,Yes,
Does the policy or procedure for information handling include access control requirements including restrictions and authorized parties?,Yes,
Does the policy or procedure for information handling include encryption requirements?,Yes,
Does the policy or procedure for information handling include storage requirements including authorized use of Public Cloud storage?,Yes,
"Does the policy or procedure for information handling include electronic transmission security requirements including email, web, and acceptable use by the file transfer services?",Yes,
Does the policy or procedure for information handling include a list of couriers approved by senior management (depending on the classification of the information) who are authorized to transfer physical storage media?,Yes,
Does the organization require stronger levels of authentication when transferring information through publicly accessible networks?,Yes,
Does the organization have procedures to prevent sending documents and messages in communications to an incorrect address or number?,Yes,
Does the organization have restrictions on electronic communication facilities that prevent the automatic forwarding of electronic mail to external mail addresses?,Yes,
"Does the organization have procedures to advise constituents against sending short message service (SMS) texts, instant messages, or using fax services with critical information due to the risk of unauthorized access?",Yes,
"Does the organization have a policy requiring personnel to refrain from having confidential verbal conversations in public places or over unsecured communication channels (e.g., leaving confidential messages on recording devices)?",Yes,
"When discussing sensitive, personal or confidential information, are personnel screened as appropriate, with a disclaimer up front that information to be discussed is sensitive (or critical), and is the environment secure (e.g., closed door, sound-proof room)?",No,
"Does the policy or procedure for information handling include removable media (e.g., USB Drives, DVDs, etc.) requirements?",Yes,
Does the policy or procedure for information handling ensure information's classification is properly labeled in its related physical and electronic formats?,Yes,
Does the policy or procedure for information handling ensure constituents are aware of labeling procedures and given the necessary training to ensure information is labeled correctly?,Yes,
Does the organization protect and control its digital and non-digital media assets during transportation outside of controlled areas using appropriate security measures?,Yes,
"Is there a records retention policy and retention schedule covering paper and electronic records, including email in support of applicable regulations, standards, and contractual requirements?",Yes,
"Is there a data retention/destruction requirement that includes information on live media, backup/archived media, and information managed by fourth parties?",Yes,
Is scoped data included in a regular data retention review?,Yes,
Is all media containing scoped data disposed of securely?,No,"We have a strict media disposal policy in place, which includes securely destroying all media containing scoped data. This process is overseen by our dedicated IT security team to ensure compliance with industry standards and regulations."
Does the organization maintain procedures for the secure reuse and disposal of storage media?,Yes,
Does the organization have procedures to perform a risk assessment on damaged devices containing sensitive data?,Yes,
Is media disposal logged to maintain an audit trail?,Yes,
"If in electronic form, is all scoped data made unrecoverable (wiped or overwritten) prior to asset reuse?",Yes,
"If asset disposal is outsourced, is the service provider vetted for destruction methods, and do they provide disposal certificates based on the agreed upon SLA?",Yes,
"Does the organization require dual authorization for the destruction, disposal, or sanitization of digital media that contains sensitive data?",Yes,
Does the organization have a process for ensuring the timely secure disposal of temporary files that contain personal information?,Yes,
Is scoped data sent or received electronically?,Yes,
"Are policies, procedures, and controls for transferring information enforced, including the reliability and availability of the transfer service?",Yes,
Is scoped data sent or received electronically encrypted in transit while outside the network?,Yes,"While we do encrypt data in transit, we do not have a comprehensive key management system in place, which could potentially lead to data breaches."
"Does scoped data sent or received electronically include encryption of e-mail, chat, and other messaging technologies?",Yes,
Does scoped data sent or received electronically include protection against malicious code by network virus inspection or virus scan at the endpoint?,Yes,
Does scoped data sent or received electronically include content filtering scans performed on incoming/outgoing email to enforce email policy?,No,
"Is regulated or confidential scoped data stored electronically with data protection safeguards e.g., full-disk encryption, databases, files, encryption keys, etc.?",Yes,
Is full-disk encryption enabled for all systems that store or process scoped data?,Yes,
Is regulated or confidential scoped data stored in a database?,Yes,
Does regulated or confidential scoped data stored in a database include Database Encryption?,Yes,
Does regulated or confidential scoped data stored in a database include column/field encryption?,Yes,
Does regulated or confidential scoped data stored in a database include tablespace encryption?,Yes,
Is regulated or confidential scoped data stored in files?,Yes,
Does regulated or confidential scoped data stored in files include file/folder-level encryption enabled?,Yes,
"Is Information classified according to legal or regulatory requirements, business value, and sensitivity to unauthorized disclosure or modification?",Yes,
"Is information reclassified as information value, sensitivity, and customer requirements change?",Yes,
"Is the information classification scheme consistently applied across all organizations, external and internal?",Yes,
"Does the organization assign asset ownership to a department, team or individual?",Yes,
Are owners responsible to approve and periodically review access to Information Assets?,Yes,
"Are owners responsible to ensure their Information Assets are inventoried, appropriately classified, protected, and decommissioned properly?",Yes,
Is scoped data sent or received via physical media?,No,
Do transport containers protect against physical damage?,Yes,
"Are locked or tamper evident transport containers used to transport scoped data to protect from interception, unauthorized access, copying, modification, misrouting, destruction, and denial of service?",Yes,
"Are all the following used when transporting scoped data: chain of custody logs identifying media contents, protection applied, times of transfer and receipt at destination?",Yes,
Has your company implemented a data loss prevention (DLP) security solution program?,Yes,
Have roles and responsibilities been defined for the DLP security solution program?,Yes,
"Does the DLP security solution program include policies for data in use, in motion, and at rest?",Yes,
Does the DLP security solution program include DLP solution performance monitoring?,Yes,
Is the DLP security solution program performance monitoring continuous?,No,"Our DLP security solution is continuously monitored, with real-time alerts and regular performance reports to ensure optimal protection and quick response to any potential threats."
Does the DLP security solution program include a handling process if data loss is suspected or has occurred?,Yes,
Does the DLP security solution program include a review of the DLP rules at least annually?,Yes,
Is all organization email scanned by a DLP security solution?,Yes,
Is all organization outbound web traffic scanned by a DLP security solution?,Yes,
"Does your DLP security solution have rules set up for the prohibition of unauthorized transfers of personal information to external sites e.g., webmail, blogs, personal storage sites?",Yes,
Is there a process in place for the data owner to authorize data export and ensure accountability of users for their actions?,Yes,
Does your DLP security solution have rules set up pertaining to the decryption of SSL/TLS internet traffic?,Yes,
Is the DLP system configured to block unauthorized traffic?,Yes,
Does the DLP security solution fully block even if only one record is identified?,Yes,
Does the DLP security solution program include a process for documenting and maintaining a data inventory?,Yes,
Does the DLP security solution program include a process for documenting and evaluating how data is classified?,Yes,
Does the DLP security solution program include a process for determining the usage of an effective DLP technology/solution?,Yes,
Does the DLP security solution have rules set up pertaining to scanning USB Ports?,Yes,
Does the DLP security solution have rules set up pertaining to printing tasks?,Yes,
Does the DLP security solution program include a network DLP solution?,Yes,
Is all network traffic between zones scanned by the DLP solution?,Yes,
Does the DLP security solution program include a process for reporting DLP events to the person/team responsible for investigating security/privacy breaches?,Yes,
"Can clients provide requirements (i.e., data elements) to include in the DLP security solution?",Yes,
"Are all email attachments, regardless of size, scanned as part of the DLP security solution program?",No,
Do scans performed on incoming and outgoing email include phishing prevention?,Yes,
"Are scoped systems or data stored or transferred in cloud-based public file sharing solutions? If yes, please explain in the Additional Information field.",Yes,"We do not use cloud-based public file sharing solutions for storing or transferring scoped systems or data. We have a secure, private cloud infrastructure in place to ensure the confidentiality and integrity of our data."
"Are organization-approved, cloud-based public file sharing solution(s) used (e.g., SharePoint, Box, Google Drive, Dropbox, OneDrive)? If yes, please identify the provider(s) in the Additional Information field.",Yes,
"Are users prohibited by policy from granting public file sharing access to external parties without management approval? If no, please explain in the Additional Information field.",Yes,
Are there controls that prevent uploads to unapproved public file sharing sites?,Yes,
Are users technically prevented from extending public file sharing access to external parties?,Yes,
"Is the externally hosted file sharing solution restricted by network or geographic location? If yes, please explain in the Additional Information field.",Yes,
Are encryption keys managed and maintained for scoped data?,Yes,
Are encryption keys generated in a manner consistent with key management industry standards?,Yes,
"Do organizational agreements include protocols for cryptographic services covering issues of liability, reliability of services, and response times?",Yes,
Are encryption keys encrypted at rest and when transmitted?,Yes,
Is there segregation of duties between personnel responsible for key management duties and those responsible for normal operational duties?,Yes,
Is the use of keys by personnel logged?,Yes,
Is there a centralized key management system (KMS)?,Yes,
"Does key generation and management occur in a software solution e.g., Bouncy Castle, OpenSSL?",Yes,
"Does key generation and management occur in a hardware Encryption Module/hardware Security Module e.g., NIST, FIPS 140-2?",No,
Is there an option for clients to manage their own encryption keys?,No,
Are clients provided with the ability to generate a unique encryption key?,Yes,
Are clients provided with the ability to rotate their encryption keys on a scheduled basis?,Yes,
Is Asymmetric encryption key length at a minimum of 2048 bits?,Yes,
Does Symmetric encryption use an AES (Advanced Encryption Standard) with a key length of at least 128 bits?,Yes,
Are constituents able to view client's unencrypted data?,No,
Can constituents view an unencrypted version of regulated or confidential Information?,No,
Is encryption key or certificate sharing prohibited between production and non-production systems?,Yes,
"Has encryption of any nonpublic information at rest, or in transit over external networks, been deemed infeasible? If yes, please describe the unencrypted information in the Additional Information field.",Yes,
Is all unencrypted nonpublic Information secured using effective alternative compensating controls? Please describe the compensating controls in the Additional Information field.,Yes,
Are all controls used to compensate for unencrypted nonpublic information reviewed and approved by the organization's CISO on an annual basis?,Yes,
"Is maintenance and repair of organizational assets performed and logged, with tools that have been inspected, approved, and controlled?",Yes,
Can clients specify where their data is stored (logically and physically)?,No,
Is data segmentation and separation capability between clients provided?,Yes,
"Does data segmentation and separation include database segmentation i.e., separate database instances for each client?",Yes,
Does data segmentation and separation include physical segmentation (Private Cloud)?,Yes,
Does data segmentation and separation include network segmentation?,Yes,
"Does data segmentation and separation include operating system segmentation e.g., unique Operating System instances, virtualization?",Yes,
Does data segmentation and separation include application segmentation (unique application instances)?,Yes,
"Does data segmentation and separation include application segmentation e.g., application ID, metadata tagging?",Yes,
Does the organization have a process for systems to add additional metadata when it processes information depending on the information security properties?,Yes,
"Are other types of data segmentation and separation used? if so, please specify in the Additional Information field.",Yes,"While we do use data segmentation and separation, we have not implemented any additional measures beyond what is standard in our industry, which may not be sufficient to meet IBM BANK's specific security requirements."
"In the event of a subpoena or forensics incident, is specific data able to be put on Litigation Hold without impacting other clients' data?",Yes,
"In the event of a subpoena or forensics incident, can sufficient data segmentation between clients be legally demonstrated?",Yes,
"In the event of a subpoena or forensics incident, is there documentation approved by legal counsel explaining the Litigation Hold capability and procedure that can be shared with the client?",Yes,
Does your organization have a Data Protection Officer?,Yes,
Is web access enabled for any organizational email systems?,Yes,
Are there DLP controls in place for webmail?,Yes,
Is two-factor authentication required for all users to access email from outside the company?,Yes,
"For privileged access users with direct access to production environments (e.g., DBAs, system administrators), are there technical controls in place that restrict and monitor customer data from leaving the production environment?",Yes,
